state,district,forecast_period,forecast_severity_score,forecast_risk_category,forecast_enrol,forecast_demo,forecast_bio,current_trend
PUNJAB,TARN TARAN,2_weeks_ahead,43.39711135533871,Stable,72,716,996,accelerating_down
Pondicherry,Pondicherry,2_weeks_ahead,14.234516241836015,Stable,0,8,7,stable
Puducherry,Puducherry,2_weeks_ahead,10.82418826781941,Stable,0,4,4,declining
Punjab,Amritsar,2_weeks_ahead,30.138863966418967,Stable,4,75,118,stable
Punjab,Gurdaspur,2_weeks_ahead,8.388308918936591,Stable,0,1,0,stable
Punjab,Hoshiarpur,2_weeks_ahead,23.701844522067926,Stable,1,32,44,stable
Punjab,Jalandhar,2_weeks_ahead,40.711409878894194,Stable,15,179,242,accelerating_up
Punjab,Ludhiana,2_weeks_ahead,25.583340848875142,Stable,1,37,15,accelerating_up
Punjab,Moga,2_weeks_ahead,4.274672280428378,Stable,0,0,1,stable
Punjab,SAS Nagar (Mohali),2_weeks_ahead,17.85465095666106,Stable,1,4,3,accelerating_up
RAJASTHAN,AJMER,2_weeks_ahead,73.48807718912903,Emerging_Risk,422,3285,3151,accelerating_down
RAJASTHAN,ALWAR,2_weeks_ahead,78.63667683189631,Emerging_Risk,685,4286,4889,accelerating_down
RAJASTHAN,BANSWARA,2_weeks_ahead,67.24611847276338,Watchlist,335,2433,1843,accelerating_down
RAJASTHAN,BARAN,2_weeks_ahead,64.73222421665359,Watchlist,281,1549,2788,accelerating_down
RAJASTHAN,BARMER,2_weeks_ahead,75.16066189418423,Emerging_Risk,637,2352,4003,accelerating_down
RAJASTHAN,BHARATPUR,2_weeks_ahead,74.03061233996235,Emerging_Risk,563,3023,2807,accelerating_down
RAJASTHAN,BHILWARA,2_weeks_ahead,72.6272245204091,Emerging_Risk,411,3109,3369,accelerating_down
RAJASTHAN,BIKANER,2_weeks_ahead,72.0485452260997,Emerging_Risk,436,2500,3068,accelerating_down
RAJASTHAN,BUNDI,2_weeks_ahead,58.21055756858576,Watchlist,222,1462,1517,accelerating_down
RAJASTHAN,CHITTORGARH,2_weeks_ahead,57.22889374746503,Watchlist,217,1755,1230,accelerating_down
RAJASTHAN,CHURU,2_weeks_ahead,71.04852454907521,Emerging_Risk,439,1974,3226,accelerating_down
RAJASTHAN,DAUSA,2_weeks_ahead,63.493041962105984,Watchlist,261,1651,2342,accelerating_down
RAJASTHAN,DHOLPUR,2_weeks_ahead,59.36624188614675,Watchlist,255,1587,1298,declining
RAJASTHAN,DUNGARPUR,2_weeks_ahead,64.07924938352429,Watchlist,280,1847,1959,accelerating_down
RAJASTHAN,GANGANAGAR,2_weeks_ahead,66.7338597475699,Watchlist,373,1876,2366,accelerating_down
RAJASTHAN,HANUMANGARH,2_weeks_ahead,61.11586226966112,Watchlist,208,1583,2315,accelerating_down
RAJASTHAN,JAIPUR,2_weeks_ahead,81.7374408379776,Emerging_Risk,1131,8694,7665,accelerating_down
RAJASTHAN,JAISALMER,2_weeks_ahead,54.52584513791486,Stable,121,839,1114,stable
RAJASTHAN,JALORE,2_weeks_ahead,68.92399609729134,Watchlist,520,1757,2445,accelerating_down
RAJASTHAN,JHALAWAR,2_weeks_ahead,62.9776737624358,Watchlist,302,1619,1816,accelerating_down
RAJASTHAN,JHUNJHUNU,2_weeks_ahead,67.52230840084357,Watchlist,316,2265,2561,accelerating_down
RAJASTHAN,JODHPUR,2_weeks_ahead,78.25870059724691,Emerging_Risk,766,3571,4535,accelerating_down
RAJASTHAN,KARAULI,2_weeks_ahead,63.97547714722623,Watchlist,300,1907,1763,accelerating_down
RAJASTHAN,KOTA,2_weeks_ahead,66.97283348249385,Watchlist,339,2408,1848,accelerating_down
RAJASTHAN,NAGAUR,2_weeks_ahead,76.56277144590122,Emerging_Risk,569,3110,4928,accelerating_down
